factor,IC_IR,IC_mean,IC_t,FM_λ_annual,FM_t,cs_effective_ratio,IC_pass,FM_pass,CS_pass,pass
alpha036,0.14509427286332635,0.015850585255891,9.041364241798597,0.13587808191664436,3.260110315928954,0.044284243048403706,True,True,False,False
alpha017,0.14342787765208526,0.02548825349900279,8.938675732173278,0.02706051489440764,0.4647539016925131,,True,False,False,False
alpha025,0.14123647556164942,0.018799603739022865,8.800970531646135,0.036569851486953714,0.941125004142641,,True,False,False,False
alpha006,0.1396074455455522,0.01873193745842626,8.68488482112971,-0.3977325292811973,-6.540058682066486,0.0,True,True,False,False
alpha120,0.1353156595497929,0.014989591225104149,8.433108137699408,0.1009696919119383,2.683113771167307,0.9984555984555985,True,True,True,True
alpha180,-0.13470742906144445,-0.015612200022319521,-8.386551760901359,0.0656421793094253,1.2967339515512564,,True,False,False,False
alpha022,0.13422505079802505,0.010999552817408791,8.360830899828182,-9.360163225117065e-05,-0.00563403811251589,,True,False,False,False
alpha074,0.13422505079802505,0.010999552817408791,8.360830899828182,-9.360163225117065e-05,-0.00563403811251589,,True,False,False,False
alpha080,0.12914766539642847,0.02057812988284846,8.040414609595718,0.19350447672118365,3.59501878901528,1.0,True,True,True,True
alpha128,0.12864375835922853,0.014740338205663398,8.017303607674776,-0.048831646088048825,-1.4001793909238813,,True,False,False,False
alpha103,0.12811698904884875,0.016500726401326375,7.9855022259237325,0.18526232910173582,4.507071267728034,0.6873391662377767,True,True,True,True
alpha111,0.12746131741704528,0.010273015844779241,7.939520341823706,0.100368867267824,6.41573723531103,1.0,True,True,True,True
alpha177,0.124107068491358,0.01427714219538449,7.7315815088881905,0.04657299667953144,1.3062908987179296,,True,False,False,False
alpha040,0.12314244098634204,0.013569421190557358,7.671487460487832,0.018099069046246644,0.4304094262806859,,True,False,False,False
alpha113,-0.12273718380759809,-0.009845762565946364,-7.645255731589235,-0.06337187302856268,-4.024919909368076,1.0,True,True,True,True
alpha038,0.12016954898634087,0.01319268762389701,7.487247624788418,0.038723936900441805,0.9584277508552161,,True,False,False,False
alpha114,0.11844193668968417,0.010594078983239868,7.377706309090667,-0.006264819283742916,-0.3925971050349088,,True,False,False,False
alpha173,-0.1159416288715492,-0.019358145554755485,-7.215445421854975,-0.005920637129050393,-4.394924249679068,1.0,True,True,True,True
alpha138,-0.11491601346563221,-0.011494301882035275,-7.159000172886175,-0.050283292892654693,-0.8619848063660175,,True,False,False,False
alpha099,-0.11451136304878995,-0.00961203510404331,-7.085838788136533,-0.44074776739807575,-6.032787913132821,0.0,True,True,False,False
alpha100,-0.11423983170371571,-0.014602225243024741,-7.120542225756998,-0.21107106222246746,-5.07940227326965,0.9698919197117859,True,True,True,True
alpha174,-0.11245711693713946,-0.0216355679020032,-6.99226485319162,-0.1298535261266032,-2.1632658482734453,0.9994828032066201,True,True,True,True
alpha135,-0.10890880703988177,-0.008960419473770657,-6.728590233733603,-0.42811776016700787,-7.138237160196024,0.0,True,True,False,False
alpha076,0.10672517713636623,0.01776845967668866,6.648730133673282,0.14410376245476614,2.7822026637574955,1.0,True,True,True,True
alpha081,0.10616992212870506,0.016421397928214402,6.601344896487074,0.17062820006117418,3.3533436166217396,1.0,True,True,True,True
alpha015,0.10357477269915699,0.011088074379459568,6.45496065581542,27.381902010137775,23.27764828453135,0.9485199485199485,True,True,True,True
alpha034,0.10244019450453717,0.010992105056425094,6.384251761976094,0.11097263234747827,2.4943667201039297,0.04658944658944659,True,True,False,False
alpha077,0.10041142674413485,0.016711699304428427,6.25136737923734,0.13638592687822668,2.6423321548415744,1.0,True,True,True,True
alpha126,0.10014984077126066,0.007589191426209175,6.241512918810665,0.17635611552268543,5.062456014509894,0.004633204633204633,True,True,False,False
alpha004,0.09789762311349873,0.010192698698250808,6.09643643471457,0.009600531490745452,0.7225111551771297,,True,False,False,False
alpha020,0.09764437553227873,0.01420521189498944,6.0814497432364725,0.024281995837659557,0.48899085105288115,,True,False,False,False
alpha078,0.09479960769332756,0.015754421752339463,5.894370965787177,0.12660127952414535,2.463921023479957,1.0,True,True,True,True
alpha118,0.08963561972392682,0.011574144422396761,5.586248307376585,-0.06583712328901264,-1.480037178487253,,True,False,False,False
alpha013,-0.08374375407515695,-0.010736713205486904,-5.219728777105418,-0.004576140047846306,-4.0890601565475695,1.0,True,True,True,True
alpha002,0.07732542418733564,0.009734551114125483,4.81905543035338,-0.11425227316808553,-2.5565495609162467,0.9981981981981982,True,True,True,True
alpha129,0.07197969663255607,0.00510404747497677,0.7125626423528326,2.4282308455124424,0.6262365789324326,,True,False,False,False
alpha125,-0.06951284320543634,-0.00520812320673668,-4.329372379708562,0.036322424712588106,0.6632444079641534,,True,False,False,False
alpha027,0.0694820383676618,0.008866544168514076,4.3285692714648345,-0.14672077113887713,-3.8144208569127005,1.0,True,True,True,True
alpha122,0.06796228291011484,0.008493701158846487,4.235528119751873,-0.1238944805682724,-3.3204542980918825,0.998970398970399,True,True,True,True
alpha139,0.06780372609031489,0.007038058981038535,4.224014322843362,0.16313897760906715,4.250391982152806,0.00025759917568263783,True,True,False,False
alpha187,0.066345972108564,0.005475498480807853,4.134796808838118,0.10396717374910389,3.276536072192108,0.9981981981981982,True,True,True,True
alpha031,-0.0603095350970409,-0.003955221959217481,-3.754722670392023,-0.10415149299511524,-5.045680562156889,0.0,True,True,False,False
alpha178,-0.05503183532476921,-0.007112203313239333,-3.4292385098797373,0.11040619418919992,2.6057487009766103,0.999484934329127,True,True,True,True
alpha098,-0.054814637525945904,-0.007007161495732118,-3.416583649259411,-0.17599071305827213,-4.365102343998294,0.9508492022645394,True,True,True,True
alpha030,0.05421549621672423,0.0034630517765771945,3.3753228640204744,-0.02807022685990555,-1.4032922810145945,,True,False,False,False
alpha124,-0.05143780008391013,-0.006879722085557492,-3.20569350152232,-0.14607583899016371,-3.7081595313902564,0.9992277992277993,True,True,True,True
alpha189,0.051028296352998936,0.00393700604740554,3.1789440948755123,0.1321199510859841,4.892657391798784,0.005151983513652756,True,True,False,False
alpha024,0.04664288073960443,0.006186804744185979,2.9068657569980645,-0.12908834708446495,-3.307725758633573,,False,True,False,False
