factor,IC_IR,IC_mean,IC_t,IC_days,FM_λ_annual,FM_t,FM_days,cs_effective_ratio,IC_pass,FM_pass,CS_pass,pass
alpha081,0.09523282070184588,0.015607274142786103,5.92130692302945,3866,0.2129171540914136,3.969822516994635,3867,1.0,True,True,True,True
alpha040,0.09443661620847635,0.011644106167867926,5.8831813893845135,3881,-0.044549321962531786,-0.9257198060775831,3882,0.02627511591962906,True,False,False,False
alpha111,0.09273185818083222,0.008556718921358335,5.776234619895519,3880,0.053975352254765,2.9354960926301974,3881,1.0,True,True,True,True
alpha175,-0.09183166489980028,-0.016900753552606586,-5.7201618990798275,3880,-0.13017590554693714,-4.00529370374512,3881,0.9953620200979129,True,True,True,True
alpha107,0.09084942842804851,0.008765722224549797,5.658978736956701,3880,-0.046316206308907426,-2.222789832122754,3881,1.0,True,True,True,True
alpha120,0.08987907513771308,0.010905484316162757,5.601420873789066,3884,0.05634602696360813,1.2787296632284622,3885,0.9971685971685972,True,False,True,False
alpha113,-0.08902685701039466,-0.008072061164008399,-5.545451408523847,3880,-0.056719693076406216,-2.9684426474303676,3881,1.0,True,True,True,True
alpha179,0.08692301618592783,0.01115764736773628,5.410914121345755,3875,-0.13340162695800695,-2.233535641330333,3876,0.003869969040247678,True,True,False,False
alpha156,0.08600950093878887,0.01769668478096686,5.358191722120542,3881,-0.12039496033243714,-1.7859434635291491,3882,0.06800618238021638,True,False,False,False
alpha026,0.08544193879038399,0.011725136636155082,5.323519632567936,3882,-0.12191652375983685,-2.816109338490004,3883,1.0,True,True,True,True
alpha028,0.0851200132733055,0.01165119576095527,5.30209549512578,3880,-0.17098616665667535,-3.9341570240276473,3881,1.0,True,True,True,True
alpha151,-0.08439187606304442,-0.020288749358338264,-5.257417457369503,3881,0.011632336057880307,0.16013491275256628,3882,0.04379185986604843,True,False,False,False
alpha089,0.08391329920187544,0.01594314995415411,5.221538334969601,3872,-0.13167331682990827,-2.5135829722267444,3873,0.0,True,True,False,False
alpha038,0.08385473788689085,0.010377953297334706,5.22462797245118,3882,-0.056496591584098865,-1.1940680649911872,3883,0.025753283543651816,True,False,False,False
alpha098,-0.0827179458422544,-0.013155629898039159,-5.155790387762762,3885,-0.3334927076456409,-6.668924493624928,3886,0.8903757076685538,True,True,True,True
alpha019,0.08226156570663018,0.01486646038962847,5.123383450585334,3879,-0.04620895277266825,-0.7417769586407166,3880,0.9953608247422681,True,False,True,False
alpha154,0.08223140380279702,0.016750919552660403,5.122825064036501,3881,-0.12145800178841766,-1.8507209007780188,3882,0.05770221535291087,True,False,False,False
alpha017,0.08113799133455257,0.014164599747407506,5.05666127096113,3884,-0.11169849130562083,-1.7781453066193569,3885,0.9907335907335907,True,False,True,False
alpha052,0.08061087423662239,0.010581572955740361,5.023810413175229,3884,0.003347729587142418,0.06277357378170001,3885,0.9979407979407979,True,False,True,False
alpha018,0.08061087423662239,0.010581572955740361,5.023810413175229,3884,0.003347729587142418,0.06277357378170001,3885,0.9979407979407979,True,False,True,False
alpha157,-0.08031591483964172,-0.019259331203674335,-5.003494559915842,3881,-0.020395298394796903,-0.2861607094510446,3882,0.0994332818134982,True,False,False,False
alpha136,0.07876460920637576,0.009896941537216852,4.906851829613753,3881,0.09899477312669068,1.9531782110585485,3882,0.002833590932509016,True,False,False,False
