factor,IC_IR,IC_mean,IC_t,IC_days,FM_λ_annual,FM_t,FM_days,cs_effective_ratio,IC_pass,FM_pass,CS_pass,pass
alpha172,-0.02199458155099064,-0.002900113445218939,-1.3677376119970852,3867,0.0004408012174774342,0.7188681345292259,3868,1.0,False,False,True,False
alpha104,-0.02133598106721459,-0.0032777087823693367,-1.3298667535774384,3885,-0.12729257776942463,-2.562701249079103,3886,1.0,False,True,True,False
alpha186,-0.019804136665437996,-0.0014893002781867601,-1.23359266241567,3880,-0.021727844548773405,-1.523644532099269,3881,1.0,False,False,True,False
alpha080,0.019265362565542163,0.003135655567131247,1.1994138814330235,3876,0.038215915168553743,0.7571360482276164,3877,1.0,False,False,True,False
alpha185,0.01800101664026459,0.0013355664555878056,1.1212769543348158,3880,0.05811097988827025,4.1806397000166164,3881,1.0,False,True,True,False
alpha191,0.01693745499188595,0.0012478510437977008,1.0548921097604187,3879,0.04975669781404954,3.649145338951332,3880,1.0,False,True,True,False
alpha189,0.01687330208127658,0.0016136548341836548,1.0511674471995671,3881,0.09560978444779486,3.0197249885840813,3882,0.006955177743431221,False,True,False,False
alpha130,0.015687536475214738,0.002274395653200134,0.977297009801058,3881,-0.19658839656768423,-2.909758615387317,3882,0.004121586810922205,False,True,False,False
alpha012,-0.015567928347364373,-0.0021503559471484977,-0.9692207609100878,3876,0.07150206952329428,0.5863292073834933,3877,1.0,False,False,True,False
alpha190,0.015549266578280025,0.0017202660117389532,0.9686831170440091,3881,0.03556881562058712,0.873522512049544,3882,0.007985574446161773,False,False,False,False
alpha005,-0.013326041227974816,-0.0019923807285477466,-0.83007439079975,3880,-0.3459132226443201,-4.780950914311873,3881,0.003091986601391394,False,True,False,False
alpha119,-0.01142558948440375,-0.0018752465263132587,-0.7119710114476111,3883,-0.1833804031740982,-3.814135353883334,3884,0.6326898326898327,False,True,True,False
alpha181,0.009698388388905417,0.001035095685180791,0.6044982998932961,3885,0.06115039318751922,1.5805012258426536,3886,0.9760679361811632,False,False,True,False
alpha123,-0.006377251283506454,-0.0005543173017244603,-0.3935854328487511,3809,-0.15741803463905632,-1.9024743100228865,3810,0.0,False,False,False,False
alpha188,-0.005502641709126969,-0.0006241576464842186,-0.34293423784412125,3884,-0.001313952396284496,-0.03591442666964933,3885,0.9987129987129987,False,False,True,False
alpha081,0.0034844185862634067,0.0005616230575875865,0.21665127364198808,3866,0.028922174064825175,0.5824495952323284,3867,1.0,False,False,True,False
alpha136,-0.002305016248432793,-0.0003298884882291611,-0.14359714737207557,3881,-0.08163368406159316,-1.5462971156767051,3882,0.002833590932509016,False,False,False,False
alpha022,0.0016427014517901265,0.00015411437003068254,0.10232329193144613,3880,-0.0793386668357548,-4.709709858547399,3881,1.0,False,True,True,False
alpha074,0.0016427014517901265,0.00015411437003068254,0.10232329193144613,3880,-0.0793386668357548,-4.709709858547399,3881,1.0,False,True,True,False
alpha097,0.0,0.0,0.0,0,0.0,0.0,0,0.0,False,False,False,False
alpha121,0.0,0.0,0.0,0,0.0,0.0,0,0.0,False,False,False,False
alpha133,0.0,0.0,0.0,0,0.0,0.0,0,0.0,False,False,False,False
